Source;Target;Type;id;weight
1;2;Undirected;1;0.28
3;4;Undirected;2;0.655
5;6;Undirected;3;0.2
7;8;Undirected;4;0.205
7;9;Undirected;5;0.255
10;11;Undirected;6;0.305
6;12;Undirected;7;0.2
7;13;Undirected;8;0.255
14;2;Undirected;9;0.28
15;15;Undirected;10;0.205
16;17;Undirected;11;0.205
15;8;Undirected;12;0.205
16;18;Undirected;13;0.265
10;19;Undirected;14;0.245
14;7;Undirected;15;0.28
11;2;Undirected;16;0.28
20;21;Undirected;17;0.225
17;15;Undirected;18;0.205
7;22;Undirected;19;0.255
23;24;Undirected;20;0.44
11;7;Undirected;21;0.28
16;2;Undirected;22;0.515
25;6;Undirected;23;0.255
15;24;Undirected;24;0.205
26;6;Undirected;25;0.225
27;23;Undirected;26;0.255
3;28;Undirected;27;0.725
6;29;Undirected;28;0.42
10;21;Undirected;29;0.305
30;9;Undirected;30;0.255
10;8;Undirected;31;0.205
2;24;Undirected;32;0.255
7;6;Undirected;33;1.0
11;30;Undirected;34;0.27
31;32;Undirected;35;0.21
33;2;Undirected;36;0.27
2;27;Undirected;37;0.255
17;13;Undirected;38;0.255
11;6;Undirected;39;0.325
10;28;Undirected;40;0.955
17;9;Undirected;41;0.255
10;34;Undirected;42;0.25
10;35;Undirected;43;0.225
36;37;Undirected;44;0.225
38;34;Undirected;45;0.23
18;30;Undirected;46;0.27
6;39;Undirected;47;0.29
40;4;Undirected;48;0.655
10;13;Undirected;49;0.255
7;41;Undirected;50;0.205
16;42;Undirected;51;0.225
25;22;Undirected;52;0.25
43;36;Undirected;53;0.225
6;6;Undirected;54;0.31
10;22;Undirected;55;0.25
16;31;Undirected;56;0.205
7;33;Undirected;57;0.275
33;7;Undirected;58;0.27
31;29;Undirected;59;0.21
6;32;Undirected;60;0.28
6;37;Undirected;61;0.225
13;9;Undirected;62;0.255
44;6;Undirected;63;0.225
30;22;Undirected;64;0.255
10;45;Undirected;65;0.655
6;23;Undirected;66;0.385
10;2;Undirected;67;0.515
8;15;Undirected;68;0.205
10;14;Undirected;69;0.37
16;26;Undirected;70;0.23
46;47;Undirected;71;0.2
7;24;Undirected;72;0.47
21;36;Undirected;73;0.275
17;28;Undirected;74;0.73
17;24;Undirected;75;0.205
6;40;Undirected;76;0.655
1;7;Undirected;77;0.28
10;18;Undirected;78;0.265
14;11;Undirected;79;0.28
10;48;Undirected;80;0.215
16;15;Undirected;81;0.205
14;1;Undirected;82;0.28
20;36;Undirected;83;0.225
10;42;Undirected;84;0.695
3;40;Undirected;85;0.655
6;4;Undirected;86;0.655
25;30;Undirected;87;0.25
31;6;Undirected;88;0.22
42;46;Undirected;89;0.205
7;2;Undirected;90;0.535
10;37;Undirected;91;0.225
6;21;Undirected;92;0.265
27;24;Undirected;93;0.255
10;29;Undirected;94;0.34
24;15;Undirected;95;0.205
3;45;Undirected;96;0.655
18;6;Undirected;97;0.285
22;9;Undirected;98;0.255
6;33;Undirected;99;0.415
29;26;Undirected;100;0.21
10;49;Undirected;101;0.21
33;6;Undirected;102;0.305
33;30;Undirected;103;0.27
6;13;Undirected;104;0.275
7;17;Undirected;105;0.46
10;23;Undirected;106;0.52
40;45;Undirected;107;0.655
6;50;Undirected;108;0.48
19;6;Undirected;109;0.23
