id;label
49;love
42;blasphemy
28;tonight
31;sentencing
40;army
33;amp
37;seribulilin
22;taiwan
56;law
10;rt
36;indonesiaberkabung
2;vigils
20;nourmanyafetg
7;candlelight
29;trial
57;justice
55;prison
54;support
47;political
46;religion
58;saveahok
23;jakarta
12;basuki_btp
35;djarot
13;international
44;save
3;adharves
30;canada
14;indonesian
38;christian
6;ahok
19;bali
21;justiceforahok
52;ritapanahi
16;yennikwok
43;ntt
32;promoted
18;plan
17;vigil
5;world
4;hold
53;pak
45;tune
39;case
26;judges
48;moderate
27;happening
15;island
24;indonesia
34;governor
1;diaspora
50;jail
51;t
11;rallies
25;gitaaqsho
41;rote
8;southernmost
9;joining
